,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0,No,Female,0,Yes,Yes,9,One year,Yes,Mailed check,65.6,593.3,Yes,No,DSL,No,Yes,No,Yes,Yes,No
1,No,Male,0,No,No,9,Month-to-month,No,Mailed check,59.9,542.4,Yes,Yes,DSL,No,No,No,No,No,Yes
2,Yes,Male,0,No,No,4,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,No,Fiber optic,No,No,Yes,No,No,No
3,Yes,Male,1,Yes,No,13,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
4,Yes,Female,1,Yes,No,3,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
5,No,Female,0,No,Yes,9,Month-to-month,Yes,Credit card (automatic),69.4,571.45,Yes,No,DSL,No,No,No,Yes,Yes,Yes
6,No,Female,1,Yes,No,71,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
7,No,Male,0,Yes,No,63,Two year,Yes,Credit card (automatic),84.65,5377.8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
8,No,Female,1,No,No,7,Month-to-month,Yes,Electronic check,48.2,340.35,Yes,No,DSL,Yes,No,No,No,No,No
9,No,Female,0,Yes,Yes,65,Two year,Yes,Mailed check,90.45,5957.9,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
10,No,Male,0,No,No,54,Two year,No,Credit card (automatic),45.2,2460.55,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
11,No,Female,0,Yes,Yes,72,Two year,Yes,Credit card (automatic),116.8,8456.75,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
12,No,Female,0,Yes,No,5,Month-to-month,Yes,Electronic check,68.95,351.5,Yes,No,Fiber optic,No,No,No,No,No,No
13,No,Female,0,No,No,72,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
14,No,Female,0,No,No,56,Two year,No,Bank transfer (automatic),45.05,2560.1,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
15,No,Female,0,Yes,Yes,71,Two year,Yes,Credit card (automatic),95.75,6849.4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
16,No,Female,0,Yes,Yes,34,One year,No,Mailed check,61.25,1993.2,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
17,No,Female,1,No,No,1,Month-to-month,Yes,Electronic check,72.1,72.1,Yes,Yes,Fiber optic,No,No,No,No,No,No
18,Yes,Male,1,No,No,45,One year,No,Credit card (automatic),62.7,2791.5,Yes,No,DSL,Yes,No,Yes,No,No,Yes
19,Yes,Male,1,No,No,1,Month-to-month,Yes,Electronic check,25.1,25.1,No,No phone service,DSL,No,No,No,No,No,No
20,No,Female,1,Yes,No,50,One year,No,Electronic check,25.2,1306.3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
21,Yes,Female,0,Yes,No,13,Month-to-month,No,Electronic check,94.1,1215.6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
22,No,Female,0,Yes,Yes,23,Month-to-month,Yes,Electronic check,83.75,1849.95,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
23,No,Female,0,No,No,3,Month-to-month,No,Mailed check,19.85,57.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
24,Yes,Female,0,Yes,Yes,4,Month-to-month,No,Mailed check,20.35,76.35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
25,Yes,Female,0,Yes,Yes,1,Month-to-month,No,Bank transfer (automatic),30.5,30.5,No,No phone service,DSL,Yes,No,No,No,No,No
26,No,Female,0,Yes,Yes,55,One year,Yes,Bank transfer (automatic),103.7,5656.75,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
27,No,Male,0,Yes,Yes,54,Two year,No,Credit card (automatic),20.4,1090.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
28,No,Male,0,No,No,26,One year,Yes,Bank transfer (automatic),19.6,471.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
29,No,Female,0,Yes,Yes,69,Two year,No,Bank transfer (automatic),19.7,1396.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
30,,Female,0,No,No,11,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
31,No,Male,0,Yes,Yes,37,One year,No,Credit card (automatic),91.2,3247.55,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
32,No,Female,0,Yes,No,49,One year,No,Bank transfer (automatic),20.45,900.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
33,No,Male,0,Yes,No,66,One year,No,Bank transfer (automatic),115.8,7942.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
